大間日料店,桃園區中山北路52號
拉麵吧育樂店,桃園區育樂街32號永樂無名清粥小菜,桃園區永樂街56號

吉得堡早餐店,桃園區大同路135號
周師傅燒肉飯,桃園區中華路78號
鄉村漢堡,桃園區南華街141號
大羊鐵板燒,桃園區南華街27號
開成素食,桃園區民族路238號
清輝飲食店,桃園區南昌東街14號
草本植物臭豆腐,桃園區復興路328巷36號
雅加達漢堡店,桃園區新生路39號
三峽正土雞,Taiwan
阿郎蚵仔麵線,桃園區南華街150號
香港洪記餐飲專賣店,桃園區中正路376號
小熊,桃園區民族路206號
碗粿瑞仔,桃園區永安路190號
美而美中山北路晴晴店,桃園區中山北路48號
我愛蜜蜂,號2樓, No. 226, 中山路, 桃園區
麥味登 桃市南門店,1樓, No. 299號, 复兴路, 桃園區
香草蛋糕舖 民族總店 Vanilla｜手工蛋糕｜甜點｜咖啡廳｜餐廳｜美食｜義大利麵,桃園區民族路193號
Jellyfish Bistro&Bar桃園水母餐酒館｜酒吧｜,桃園區復興路262號
太豪小籠包大王,桃園區中山北路9號
犇牛炒飯邦,桃園區民族路237號
南門國小紅豆餅,桃園區南山街50號
Home炸雞,桃園區大同路204號
美春素食麵線&冬粉,桃園區永樂街51號
金玉越南美食 - Mon Ngon Việt Nam,桃園區文化街81號
牛丼（牛肉燴飯.排骨.雞腿便當店）,桃園區南華街100號
魔王厚切雞排 桃園三民店,桃園區三民路三段59號
港島主麵-桃園店,桃園區育樂街65號
赤炎烤肉飯,桃園區永安路184號
三十四總本家（營業時間至22.30如售完提早打烊，不確定請電話聯絡以免白跑，感恩）,桃園區三民路三段419號
鄭胖子爌肉飯,桃園區和平路88號
CopokaPIZZA 手工窯烤披薩(桃園總店),1樓, No. 66號, 博爱路, 桃園區
哇炒|炒麵、炒飯、炒泡麵、炸物|,桃園區博愛路56號
英豪 喝2杯日式平價海鮮,桃園區民族路148號
粹想町-洋食Cafe,桃園區中華路129號
廟後瓜仔肉飯,桃園區中正路222號
米麒麟香米便當,桃園區三民路三段6號
進益傳統小吃,桃園區復興路364號
陳阿義,桃園區南華街145號
四川味牛肉麵,桃園區永安路22號
大溫柔飲食店,Taiwan
洪記涼麵,桃園區民族路210號
張爺爺客家小吃,桃園區民族路168號
本物洋食 Honmono Pasta & Curry 桃園中華店,桃園區中華路110號1樓
